old	new	old_len	new_len
monteCarloRadiosityRegularSubdivideTriangle	mntCarloRadRegSbdvdTri	43	22
randomWalkRadiosityUpdateSourceIllumination	rndmWalkRadUpdSrcIllum	43	22
stochasticRadiosityElementScalarReflectance	stchsRadElemSclrRefl	43	20
__OPTIONS_GROUP_BIDIRECTIONAL_RAYTRACING__	OPTNS_GRP_BDRCT_RYTRC	42	21
__VISUAL_DEBUG_TOOLS_PATCH_HIT_CANDIDATE__	VSL_DBG_TLS_PTCH_HIT_CNDDT	42	26
addElementToIrregularChildrenDeletionCache	addElemTIrrChildrenDltnCch	42	26
hierarchicRefinementRegularSubdivideSource	hierRefRegSbdvdSrc	42	18
hierarchicRefinementSubdivideSourceCluster	hierRefSbdvdSrcClust	42	20
monteCarloRadiosityCreateSurfaceSubElement	mntCarloRadCreateSurfSubElem	42	28
randomWalkRadiosityCollisionGatheringScore	rndmWalkRadCllsnGthrnScr	42	24
sceneBuilderAddBackgroundToLightSourceList	sceneBldAddBgTLightSrcList	42	26
stochasticJacobiPropagateRadianceToSurface	stchsJacPropRadnTSurf	42	21
stochasticJacobiRefineAndPropagateRadiance	stchsJacRfnAPropRadn	42	20
stochasticRelaxationRadiosityQualityFactor	stchsRelaxRadQualFactor	42	23
OptionsGroupStochasticRelaxationRadiosity	OptsGrpStochRelaxRad	41	20
__BINARY_MODEL_READER_INDEX_LIST_RECORD__	BNRY_MDL_RDR_INDX_LIST_RCRD	41	27
hierarchicRefinementComputeLightTransport	hierRefCompLightTransp	41	22
hierarchicRefinementCreateSubdivisionLink	hierRefCreateSubdivLink	41	23
monteCarloRadiosityDetermineInitialNrRays	mntCarloRadDetInitNrRays	41	24
randomWalkRadiosityGetSelfEmittedRadiance	rndmWalkRadGetSelfEmitRadn	41	26
stochasticRadiosityElementCreateFromPatch	stchsRadElemCreateFromPtch	41	26
stochasticRadiosityElementDisplayRadiance	stchsRadElemDispRadn	41	20
monteCarloRadiosityAccumulateImportances	mntCarloRadAccumImps	40	20
monteCarloRadiosityCreateClusterChildren	mntCarloRadCreateClustChildren	40	30
monteCarloRadiosityDestroySurfaceElement	mntCarloRadDestroySurfElem	40	26
monteCarloRadiosityDetermineAreaFraction	mntCarloRadDetAreaFrac	40	22
monteCarloRadiosityNewEdgeMidpointVertex	mntCarloRadNewEdgeMidVtx	40	24
patchPropagateUnShotRadianceAndPotential	ptchPropUnShotRadnAPot	40	22
stochasticJacobiElementClearAccumulators	stchsJacElemClearAccums	40	23
stochasticRadiosityElementPullImportance	stchsRadElemPullImp	40	19
stochasticRadiosityElementPushImportance	stchsRadElemPushImp	40	19
stochasticRelaxationRadiosityRandomRound	stchsRelaxRadRndRnd	40	19
DEFAULT_GAL_MULTI_RESOLUTION_VISIBILITY	DF_GAL_MLT_RSLTN_VSBLT	39	22
__BINARY_MODEL_READER_GEOMETRY_RECORD__	BNRY_MDL_RDR_GMTRY_RCRD	39	23
__COMMAND_LINE_GALERKIN_OPTIONS_GROUP__	CMMND_LINE_GLRKN_OPTNS_GRP	39	26
__OPTIONS_GROUP_RANDOM_WALK_RADIOSITY__	OPTNS_GRP_RNDM_WALK_RDSTY	39	25
__OPTIONS_GROUP_STOCHASTIC_RAYTRACING__	OPTNS_GRP_STCHS_RYTRC	39	21
__PhongEmittanceDistributionFunctions__	Phngm	39	5
__STOCHASTIC_RADIOSITY_GALERKIN_BASIS__	STCHS_RDSTY_GLRKN_BSS	39	21
__STOCHASTIC_RAYTRACING_APPROXIMATION__	STCHS_RYTRC_APPRX	39	17
__STOCHASTIC_RAYTRACING_CSCATTER_INFO__	STCHS_RYTRC_CSCTT_INFO	39	22
__VISUAL_DEBUG_TOOLS_GLUT_DEBUG_TOOLS__	VSL_DBG_TLS_GLUT_DBG_TLS	39	24
__VISUAL_DEBUG_TOOLS_GLUT_HUD_CONSOLE__	VSL_DBG_TLS_GLUT_HUD_CNSL	39	25
galerkinElementRegularSubElementAtPoint	glrknElemRegSubElemAPnt	39	23
getNumberOfClusterToClusterInteractions	getNumOClustTClustInters	39	24
getNumberOfClusterToSurfaceInteractions	getNumOClustTSurfInters	39	23
getNumberOfSurfaceToClusterInteractions	getNumOSurfTClustInters	39	23
getNumberOfSurfaceToSurfaceInteractions	getNumOSurfTSurfInters	39	22
hierarchicRefinementEvaluateInteraction	hierRefEvalInter	39	16
